KIC, group, n_modes, numax, numax_err, delta_nu, Teff, Teff_err, Fe_H, alpha_Fe, eccentricity, mass_16, mass, mass_84, radius_16, radius, radius_84, age_16, age, age_84
5255835 , C , 7 ,  77.15 ,   1.31 ,  7.766 ,   4840 ,  90 , -0.62 ,  0.32 , 0.267 ,  0.87 ,  0.90 ,  0.93 ,  6.19 ,  6.27 ,  6.34 , 10.79 , 12.16 , 13.92     
5301647 , C , 7 , 137.05 ,   2.33 , 12.294 ,   4881 , 100 , -0.70 ,  0.22 , 0.311 ,  0.85 ,  0.89 ,  0.91 ,  4.57 ,  4.64 ,  4.67 , 10.56 , 11.42 , 13.59     
5306751 , C , 7 ,  89.72 ,   1.53 ,  8.735 ,   4838 ,  87 , -0.52 ,  0.21 , 0.164 ,  0.93 ,  0.94 ,  0.95 ,  5.87 ,  5.90 ,  5.94 ,  9.92 , 10.77 , 11.36     
5445379 , C , 7 ,  33.11 ,   0.56 ,  3.641 ,   4754 ,  80 , -0.65 ,  0.28 , 0.488 ,  1.43 ,  1.46 ,  1.52 , 12.15 , 12.26 , 12.43 ,  1.92 ,  2.20 ,  2.40     
5602690 , C , 5 ,  31.01 ,   0.53 ,  3.906 ,   4615 ,  78 , -0.58 ,  0.23 , 0.257 ,  0.88 ,  0.91 ,  0.96 ,  9.88 ,  9.96 , 10.15 ,  9.84 , 12.11 , 12.98     
5696539 , C , 6 ,  64.37 ,   1.09 ,  6.751 ,   4811 ,  79 , -0.57 ,  0.25 , 0.434 ,  0.85 ,  0.86 ,  0.94 ,  6.73 ,  6.76 ,  6.99 , 10.25 , 14.60 , 15.20     
5812955 , C , 6 ,  69.34 ,   1.18 ,  7.200 ,   4803 ,  78 , -0.59 ,  0.21 , 0.449 ,  1.03 ,  1.04 ,  1.06 ,  6.94 ,  6.97 ,  7.01 ,  6.48 ,  6.94 ,  7.37     
5858947 , C , 7 , 168.66 ,   2.87 , 14.502 ,   5002 ,  87 , -0.83 ,  0.26 , 0.749 ,  0.87 ,  0.89 ,  0.91 ,  4.13 ,  4.16 ,  4.20 ,  9.97 , 11.03 , 11.83     
5953450 , A , 7 , 140.37 ,   2.39 , 12.652 ,   5054 ,  96 , -0.67 ,  0.04 , 0.996 ,  0.90 ,  0.94 ,  0.96 ,  4.58 ,  4.64 ,  4.68 ,  8.25 ,  8.97 , 10.21     
6363813 , C , 6 ,  40.85 ,   0.69 ,  4.756 ,   4748 ,  81 , -0.66 ,  0.29 , 0.273 ,  0.89 ,  0.91 ,  0.93 ,  8.64 ,  8.71 ,  8.78 , 10.28 , 11.23 , 12.31     
